Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-04-14,3599.48,3610.05,3594.67,3603.52,5865452
2016-04-15,3611.9,3611.9,3587.77,3600.43,5831956
2016-04-18,3595.43,3597.06,3573.78,3597.06,6341691
2016-04-19,3593.69,3608.9,3590.63,3608.14,5172485
2016-04-20,3619.45,3631.94,3602.05,3628.59,8075036
2016-04-21,3639.34,3657.73,3635.96,3653.99,13710733
2016-04-22,3655.08,3671.13,3641.87,3666.54,10836845
2016-04-25,3667.91,3669.87,3640.71,3658.73,10002500
2016-04-26,3658.62,3662.66,3616.4,3628.98,6744410
2016-04-27,3637.25,3640.03,3607.73,3622.13,4564440
2016-04-28,3620.67,3625.86,3591.31,3613.42,4411588
2016-04-29,3615.05,3619.99,3603.28,3614.33,2593049
2016-05-02,3622.23,3629.46,3609.72,3617.71,1399654
2016-05-04,3610.17,3610.17,3574.08,3580.09,3225499
2016-05-05,3565.7,3565.79,3533.73,3536.11,3459709
2016-05-06,3543.3,3549.68,3524.45,3534.2,5309464
2016-05-09,3549.36,3555.71,3539.45,3544.85,3403708
2016-05-10,3552.53,3555.09,3507.95,3518.98,3152537
2016-05-11,3519.11,3525.08,3502.08,3514.43,4026932
2016-05-12,3522.37,3541.33,3512.24,3516.44,5339775
2016-05-13,3521.75,3521.75,3502.84,3510.59,3449949
2016-05-16,3515.79,3547.58,3515.79,3544.57,4680681
2016-05-17,3548.56,3556.27,3535.83,3550.84,6638371
2016-05-18,3547.43,3554.03,3532.84,3549.74,4586925
2016-05-19,3547.11,3550.43,3498.63,3503.44,4674573
2016-05-20,3508.83,3514.82,3479.35,3479.35,3412138
2016-05-23,3483.47,3497.6,3476.84,3496.91,3761338
2016-05-24,3495.01,3512.12,3487.98,3509.86,3190494
2016-05-25,3516.87,3542.76,3514.66,3542.76,6925194
2016-05-27,3546.76,3573.71,3540.59,3573.71,2088793
2016-05-30,3576.49,3576.55,3519.45,3538.57,2330993
2016-05-31,3538.82,3542.64,3481.43,3484.18,3313440
2016-06-01,3482.1,3485.34,3403.71,3403.83,10107744
2016-06-02,3401.52,3422.5,3395.28,3411.19,3759993
2016-06-03,3426.74,3486.81,3420.05,3486.81,3250877
2016-06-06,3495.08,3499.36,3462.72,3483.94,3153902
2016-06-07,3495,3546.79,3492.3,3546.79,3237182
2016-06-08,3537.38,3557.56,3529.51,3549.59,2308639
2016-06-09,3547.24,3547.24,3515.51,3515.51,3032894
2016-06-10,3525.49,3525.49,3487,3497.64,2723784
2016-06-13,3472.42,3474.94,3436.63,3453.13,4002097
2016-06-14,3442.63,3446.93,3410.66,3434.75,5135570
2016-06-15,3425.75,3436.87,3419.16,3430.46,3985418
2016-06-16,3416.69,3417.27,3365.82,3369.26,6695385
2016-06-17,3375.22,3467.52,3374.71,3438.72,3272042
2016-06-20,3451.32,3465.71,3447.31,3458.72,3995039
2016-06-21,3459.7,3477.54,3454.12,3469.41,5181772
2016-06-22,3472.03,3490.05,3457.48,3484.64,3419133
2016-06-23,3488.48,3523.1,3473.6,3520.59,5117146
2016-06-24,3322.98,3347.12,3243.57,3347.12,10473035
2016-06-27,3356.62,3360.95,3312.89,3312.89,3163283
2016-06-28,3322.79,3391.19,3322.79,3380.21,3300950
2016-06-29,3402.31,3414.91,3376.91,3393.65,3768631
2016-06-30,3403.43,3405.06,3377.75,3393.01,2594570
2016-07-01,3396.07,3402.02,3377.22,3400.26,1955475
2016-07-04,3356.92,3357.68,3310.18,3336.83,2361003
2016-07-05,3343.65,3346,3324.59,3326.86,1195415
2016-07-06,3329.96,3333.51,3285.27,3285.27,2353354
2016-07-07,3297.89,3336.98,3295.92,3327.68,3038324
2016-07-08,3331.16,3349.81,3331.16,3345.5,1303672
2016-07-11,3359.92,3400.14,3359.92,3400.14,2263229
2016-07-12,3409.44,3431.77,3409.44,3431.77,1835599
2016-07-13,3444.38,3451.67,3432.89,3449.78,2007121
2016-07-14,3452.18,3452.83,3432.15,3447.42,4357698
